,dt,flight,alt_baro,alt_geom,gs,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,mlat,tisb,messages,seen,rssi
12625,2022-10-16 18:33:24.590944,ACA834  ,37000,36750,514.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.057352,-75.087533,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],3522,0.0,-19.4
12626,2022-10-16 18:33:25.622303,ACA834  ,37000,36750,514.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.05777,-75.085929,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],3528,0.2,-19.3
12627,2022-10-16 18:33:26.658414,ACA834  ,37000,36750,514.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.058548,-75.082724,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],3532,0.3,-18.5
12628,2022-10-16 18:33:27.712470,ACA834  ,37000,36750,514.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.059647,-75.078343,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3570,0.2,-11.1
12629,2022-10-16 18:33:28.734312,ACA834  ,36975,36725,514.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.060518,-75.074805,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3583,0.2,-13.2
12630,2022-10-16 18:33:29.759968,ACA834  ,36975,36725,514.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.061203,-75.072,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],3603,0.1,-10.8
12631,2022-10-16 18:33:30.787776,ACA834  ,36975,36725,514.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.061981,-75.068795,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],3627,0.2,-11.6
12632,2022-10-16 18:33:31.811396,ACA834  ,36975,36725,514.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.062706,-75.065963,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],3638,0.1,-15.0
12633,2022-10-16 18:33:32.834981,ACA834  ,36975,36725,514.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.063823,-75.061541,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],3676,0.0,-12.6
12634,2022-10-16 18:33:33.872669,ACA834  ,36975,36725,514.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.064499,-75.058659,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3689,0.0,-13.0
12635,2022-10-16 18:33:34.906000,ACA834  ,36975,36725,514.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.065406,-75.055177,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3727,0.2,-13.6
12636,2022-10-16 18:33:35.933668,ACA834  ,36975,36725,515.2,70.6,0,0556,none,A5,1012.8,36992,82.3,,45.066151,-75.052029,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3764,0.2,-12.9
12637,2022-10-16 18:33:36.975857,ACA834  ,36975,36725,515.2,70.6,0,0556,none,A5,1012.8,36992,82.3,,45.066942,-75.04888,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],3777,0.3,-17.6
12638,2022-10-16 18:33:38.003213,ACA834  ,36975,36725,515.2,70.6,0,0556,none,A5,1012.8,36992,82.3,,45.067841,-75.045384,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3816,0.0,-14.6
12639,2022-10-16 18:33:39.020808,ACA834  ,37000,36750,515.2,70.6,0,0556,none,A5,1012.8,36992,82.3,,45.068619,-75.04218,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3827,0.1,-13.3
12640,2022-10-16 18:33:40.055110,ACA834  ,36975,36725,515.2,70.6,0,0556,none,A5,1012.8,36992,82.3,,45.069397,-75.039041,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],3834,0.3,-13.8
12641,2022-10-16 18:33:41.080669,ACA834  ,36975,36725,514.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.070108,-75.036219,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],3847,0.4,-12.6
12642,2022-10-16 18:33:42.102549,ACA834  ,36975,36725,514.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.070899,-75.033004,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],3860,0.3,-13.9
12643,2022-10-16 18:33:43.126180,ACA834  ,37000,36750,514.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.07169,-75.029855,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],3898,0.3,-11.5
12644,2022-10-16 18:33:44.153798,ACA834  ,37000,36750,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.072876,-75.025112,8,186,0.0,2,1,9,1,3,perhour,2,2,[],[],3908,0.0,-17.4
12645,2022-10-16 18:33:45.229200,ACA834  ,37000,36750,513.9,70.7,64,0556,none,A5,1012.8,36992,82.3,,45.073553,-75.022285,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],3921,0.0,-13.9
12646,2022-10-16 18:33:46.308952,ACA834  ,37000,36750,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.073975,-75.020665,8,186,0.7,2,1,9,1,3,perhour,2,2,[],[],3927,0.1,-15.2
12647,2022-10-16 18:33:47.331453,ACA834  ,37000,36750,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.075135,-75.015921,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],3938,0.1,-12.6
12648,2022-10-16 18:33:48.355812,ACA834  ,37000,36750,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.075927,-75.012773,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],3975,0.1,-15.2
12649,2022-10-16 18:33:49.384078,ACA834  ,37000,36750,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.076718,-75.009624,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],3983,0.3,-15.1
12650,2022-10-16 18:33:50.409775,ACA834  ,37000,36750,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.077509,-75.006409,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],3999,0.1,-11.4
12651,2022-10-16 18:33:51.496565,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.078301,-75.00326,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4008,0.0,-11.5
12652,2022-10-16 18:33:52.516754,ACA834  ,37000,36750,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.079372,-74.998839,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4045,0.0,-13.1
12653,2022-10-16 18:33:53.543043,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.080109,-74.996011,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4063,0.1,-9.0
12654,2022-10-16 18:33:54.587808,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.080954,-74.992542,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4077,0.1,-8.6
12655,2022-10-16 18:33:55.608156,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.081665,-74.989668,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4097,0.1,-10.6
12656,2022-10-16 18:33:56.638983,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.082351,-74.986781,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4112,0.2,-10.0
12657,2022-10-16 18:33:57.676041,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.083142,-74.983632,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],4146,0.2,-7.9
12658,2022-10-16 18:33:58.708026,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.08426,-74.979211,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4157,0.1,-9.0
12659,2022-10-16 18:33:59.727557,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.085051,-74.976062,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4241,0.1,-10.6
12660,2022-10-16 18:34:00.751615,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.085842,-74.972914,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4279,0.1,-8.6
12661,2022-10-16 18:34:01.770181,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.086587,-74.969765,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4292,0.2,-7.1
12662,2022-10-16 18:34:02.797162,ACA834  ,36975,36725,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.087379,-74.96655,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4330,0.2,-8.0
12663,2022-10-16 18:34:03.822919,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.08812,-74.963706,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4345,0.1,-8.0
12664,2022-10-16 18:34:04.845329,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.088961,-74.960253,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4354,0.0,-8.3
12665,2022-10-16 18:34:05.863737,ACA834  ,36975,36725,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.089676,-74.957428,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4364,0.2,-5.5
12666,2022-10-16 18:34:06.883278,ACA834  ,36975,36725,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.090544,-74.953956,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4374,0.2,-9.8
12667,2022-10-16 18:34:07.911388,ACA834  ,36975,36725,513.9,70.7,0,0556,none,A5,1012.8,36992,82.3,,45.091289,-74.95074,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4416,0.3,-8.7
12668,2022-10-16 18:34:08.944949,ACA834  ,36975,36725,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.092194,-74.947292,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4434,0.2,-10.0
12669,2022-10-16 18:34:09.986092,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.093109,-74.943499,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4441,0.1,-7.1
12670,2022-10-16 18:34:11.011146,ACA834  ,37000,36750,513.9,70.7,-64,0556,none,A5,1012.8,36992,82.3,,45.093803,-74.940625,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4449,0.1,-6.9
12671,2022-10-16 18:34:12.034636,ACA834  ,37000,36750,513.6,70.8,-64,0556,none,A5,1012.8,36992,82.3,,45.094666,-74.937156,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4457,0.2,-9.2
12672,2022-10-16 18:34:14.085080,ACA834  ,37000,36750,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.095444,-74.934017,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4498,0.3,-9.0
12673,2022-10-16 18:34:15.111231,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.096222,-74.930812,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4511,0.4,-9.4
12674,2022-10-16 18:34:16.149332,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.097046,-74.927673,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4522,0.1,-7.2
12675,2022-10-16 18:34:17.171133,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.097713,-74.924815,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],4534,0.1,-9.3
12676,2022-10-16 18:34:18.195607,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.09883,-74.920394,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4548,0.0,-11.3
12677,2022-10-16 18:34:19.224839,ACA834  ,37000,36750,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.099701,-74.916949,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4590,0.1,-8.2
12678,2022-10-16 18:34:20.251464,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.100367,-74.914097,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4599,0.2,-8.6
12679,2022-10-16 18:34:21.284931,ACA834  ,36975,36725,513.6,70.8,-64,0556,none,A5,1012.8,36992,82.3,,45.101158,-74.910948,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4607,0.1,-10.4
12680,2022-10-16 18:34:22.318166,ACA834  ,37000,36750,513.6,70.8,-64,0556,none,A5,1012.8,36992,82.3,,45.101949,-74.907733,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4640,0.2,-6.9
12681,2022-10-16 18:34:23.353176,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.102814,-74.904262,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4675,0.0,-12.2
12682,2022-10-16 18:34:24.386483,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.103532,-74.901436,8,186,0.4,2,1,9,1,3,perhour,2,2,[],[],4690,0.1,-9.6
12683,2022-10-16 18:34:25.409728,ACA834  ,36975,36725,513.6,70.8,-64,0556,none,A5,1012.8,36992,82.3,,45.104277,-74.898287,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],4740,0.0,-6.0
12684,2022-10-16 18:34:26.433027,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.105011,-74.895434,8,186,0.6,2,1,9,1,3,perhour,2,2,[],[],4771,0.0,-5.6
12685,2022-10-16 18:34:27.457221,ACA834  ,36975,36725,513.6,70.8,-64,0556,none,A5,1012.8,36992,82.3,,45.10586,-74.891923,8,186,0.5,2,1,9,1,3,perhour,2,2,[],[],4811,0.2,-5.6
12686,2022-10-16 18:34:28.498869,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.107025,-74.887194,8,186,0.1,2,1,9,1,3,perhour,2,2,[],[],4852,0.1,-5.1
12687,2022-10-16 18:34:29.529693,ACA834  ,36975,36725,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.107666,-74.884644,8,186,0.2,2,1,9,1,3,perhour,2,2,[],[],4861,0.0,-9.0
12688,2022-10-16 18:34:30.551890,ACA834  ,37000,36750,513.6,70.8,0,0556,none,A5,1012.8,36992,82.3,,45.108444,-74.881505,8,186,0.3,2,1,9,1,3,perhour,2,2,[],[],4872,0.3,-8.0
